fdc_id,brand_owner,brand_name,subbrand_name,ingredients,not_a_significant_source_of,serving_size_grams,household_serving_fulltext,branded_food_category,market_country
1106927,GS1 Ireland,,,100% WHOLE GRAIN IRISH STEEL CUT OATS,,40,1/4 cup,Cereal,United States
1106928,"Whole Foods Market, Inc.",,,"ORGANIC CORN FLOUR, ORGANIC CANE SUGAR, ORGANIC PEANUT BUTTER (ORGANIC DRY ROASTED PEANUTS, SALT), ORGANIC WHOLE GRAIN OAT FLOUR, ORGANIC RICE FLOUR, SEA SALT, ORGANIC EXPELLER PRESSED SUNFLOWER SEED OIL, CALCIUM CARBONATE, BAKING SODA (SODIUM BICARBONATE), MIXED TOCOPHEROLS (ADDED TO MAINTAIN FRESHNESS).",,38,1 1/3 cup,Cereal,United States
1106929,"Whole Foods Market, Inc.",,,"ORGANIC CORN FLOUR, ORGANIC WHOLE GRAIN CORN FLOUR, ORGANIC CANE SUGAR, ORGANIC PEANUT BUTTER (ORGANIC PEANUTS, SALT), ORGANIC WHOLE GRAIN OAT FLOUR, ORGANIC COCOA POWDER (PROCESSED WITH ALKALI)*, ORGANIC RICE FLOUR, ORGANIC OAT HULL FIBER, SEA SALT, CALCIUM CARBONATE, NATURAL FLAVOR, BAKING SODA (SODIUM BICARBONATE), MIXED TOCOPHEROLS ADDED TO MAINTAIN FRESHNESS, ORGANIC MALTED BARLEY EXTRACT.",,40,1 1/4 cup,Cereal,United States
1106930,"Whole Foods Market, Inc.",,,"TEXTURED SOY PROTEIN, BROWN RICE SYRUP, WHOLE ROLLED OATS, CANE SUGAR, WHEAT BRAN, PUFFED WHOLE WHEAT, ALMONDS, WHOLE OAT FLOUR, PUFFED BROWN RICE, INULIN, HONEY, SOY FLOUR, FLAXSEED, OAT FIBER, EXPELLER PRESSED CANOLA OIL, FLAXSEED MEAL, SALT, NATURAL FLAVOR, MIXED TOCOPHEROLS (ADDED TO MAINTAIN FRESHNESS).",,58,3/4 cup,Cereal,United States
1106931,"Whole Foods Market, Inc.",,,"ORGANIC RICE FLOUR, ORGANIC CANE SUGAR, ORGANIC TAPIOCA SYRUP, ORGANIC COCOA POWDER (PROCESSED WITH ALKALI), ORGANIC EXPELLER PRESSED SUNFLOWER SEED OIL, NATURAL FLAVOR, SALT, ORGANIC SOY LECITHIN (EMULSIFIER).",,31,3/4 cup,Cereal,United States
1106932,"Whole Foods Market, Inc.",,,"ORGANIC WHOLE GRAIN OAT FLOUR, ORGANIC WHEAT STARCH, ORGANIC CANE SUGAR, SEA SALT, CALCIUM CARBONATE, MIXED TOCOPHEROLS (ADDED TO MAINTAIN FRESHNESS).",,39,1 2/3 cup,Cereal,United States
1106933,"Whole Foods Market, Inc.",,,"ORGANIC WHOLE GRAIN ROLLED OATS, ORGANIC CANE SUGAR, ORGANIC CRISP BROWN RICE (ORGANIC BROWN RICE, ORGANIC BROWN RICE SYRUP, SALT), ORGANIC EXPELLER PRESSED CANOLA OIL, ORGANIC RAISINS (ORGANIC RAISINS, ORGANIC EXPELLER PRESSED SUNFLOWER SEED OIL), ORGANIC WHOLE OAT FLOUR, ORGANIC BROWN RICE SYRUP, ORGANIC ALMONDS, ORGANIC HONEY, ORGANIC MOLASSES, ORGANIC CINNAMON, ORGANIC VANILLA EXTRACT, SALT, MIXED TOCOPHEROLS (ADDED TO MAINTAIN FRESHNESS).",,57,3/4 cup,Cereal,United States
1107124,"B&G Foods North America, Inc. ",,,"WHEAT FARINA, CALCIUM CARBONATE, SALT, DEFATTED WHEAT GERM, GUAR GUM, NATURAL FLAVOR, FERRIC ORTHOPHOSPHATE, VITAMIN A PALMITATE, NIACIN, RIBOFLAVIN, PYRIDOXINE HYDROCHLORIDE, THIAMINE MONONITRATE, FOLIC ACID, BHT (TO PRESERVE FRESHNESS).",,28,1 PACKET,Cereal,United States
1107241,"Meijer, Inc.",,,ORGANIC STEEL CUT OATS.,,40,1/4 cup,Cereal,United States
1107320,Odlum Mills Limited,,,WHOLE GRAIN OATS.,,40,1/2 cup,Cereal,United States
1107425,Steve's PaleoGoods ,,,"ALMONDS, SHREDDED COCONUT, PUMPKIN SEEDS, SUNFLOWER SEEDS, HONEY, COCONUT OIL, PUMPKIN, BAKING SODA, CINNAMON, GINGER, NUTMEG, CLOVES.",,43,1.5 ONZ,Cereal,United States
1107478,"Topco Associates, Inc.",,,"ORGANIC WHOLE GRAIN WHEAT, ORGANIC WHEAT BRAN, ORGANIC CANE SUGAR, ORGANIC BARLEY MALT EXTRACT, SEA SALT.",,40,1 cup,Cereal,United States
1107489,"Post Consumer Brands, LLC",,,"WHOLE GRAIN OAT FLOUR, SUGAR, CORN FLOUR, MARSHMALLOWS (SUGAR, MODIFIED CORN STARCH, CORN SYRUP, DEXTROSE, GELATIN, BLUEBERRY, PUMPKIN AND CARROT CONCENTRATES FOR COLOR, SODIUM HEXAMETAPHOSPHATE, NATURAL FLAVOR), CALCIUM CARBONATE, SALT.",,40,1 cup,Cereal,United States
1107506,"Post Consumer Brands, LLC",,,"WHOLE OAT FLOUR, WHOLE WHEAT FLOUR, EVAPORATED CANE SUGAR, BARLEY MALT EXTRACT, UNSULFURED MOLASSES, BAKING SODA, SEA SALT, VITAMIN C (ASCORBIC ACID), TOCOPHEROLS (ANTIOXIDANTS TO PRESERVE FRESHNESS).",,55,1 cup,Cereal,United States
1107569,"Dr. McDougall's Right Foods, Inc.",,,"ORGANIC GLUTEN FREE THICK CUT OLD FASHIONED ROLLED OATS, ORGANIC CANE SUGAR, ORGANIC MILLED FLAX, SEA SALT.",,40,1 PACKET,Cereal,United States
1107664,"Wal-Mart Stores, Inc.",,,"WHOLE GRAIN OATS, SUGAR, CORN FLOUR, WHOLE GRAIN WHEAT, RICE FLOUR, SALT, CALCIUM CARBONATE, TRISODIUM PHOSPHATE, COLOR ADDED (PAPRIKA OLEORESIN AND TURMERIC OLEORESIN). FRESHNESS PRESERVED WITH VITAMIN E (MIXED TOCOPHEROLS). VITAMINS AND MINERALS: REDUCED IRON, NIACINAMIDE (VITAMIN B3), ZINC OXIDE, THIAMINE MONONITRATE (VITAMIN B1), PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), FOLIC ACID.",,42,1 cup,Cereal,United States
1107812,"B&G Foods North America, Inc. ",,,"WHEAT FARINA, SUGAR, CALCIUM CARBONATE, NATURAL FLAVORS, GUAR GUM, SALT, DEFATTED WHEAT GERM, FERRIC ORTHOPHOSPHATE, CARAMEL COLOR, VITAMIN A PALMITATE, CHOLECALCIFEROL, NIACIN, PYRIDOXINE HYDROCHLORIDE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID, BHT (TO PRESERVE FRESHNESS).",,35,1 PACKET,Cereal,United States
1107822,Odlum Mills Limited,,,WHOLE GRAIN OATS.,,40,1/4 cup,Cereal,United States
1107824,Garden of Light Inc.,,,"MULTIGRAIN & BEAN CRISPS (CORNMEAL, BROWN RICE, MILLET, CANE SUGAR, CORN STARCH, RICE EXTRACT, TEFF, CARAMELIZED PEAR JUICE CONCENTRATE, NAVY BEANS), CANE SUGAR, CANOLA OIL, SWEETENED DRIED CRANBERRIES (CRANBERRIES, SUGAR, SUNFLOWER OIL), SUNFLOWER SEEDS, ALMONDS, INVERT CANE SUGAR, FLAX SEEDS, SESAME SEEDS, MAPLE SYRUP, NATURAL FLAVORS, SEA SALT.",,30,1/3 cup,Cereal,United States
1107825,Garden of Light Inc.,,,"MULTIGRAIN & BEAN CRISPS (CORNMEAL, BROWN RICE, MILLET, CANE SUGAR, CORN STARCH, RICE EXTRACT, TEFF, CARAMELIZED PEAR JUICE CONCENTRATE, NAVY BEANS), CANE SUGAR, CANOLA OIL, WALNUTS, SUNFLOWER SEEDS, INVERT CANE SUGAR, RAISINS (RAISINS, SUNFLOWER OIL), DRIED APPLES, FLAX SEEDS, SESAME SEEDS, CINNAMON, NATURAL FLAVORS, SEA SALT.",,30,1/3 cup,Cereal,United States
1107826,Garden of Light Inc.,,,"WHOLE GRAIN OATS, CANE SUGAR, FLAX MEAL, FREEZE DRIED STRAWBERRIES, CHIA SEEDS, QUINOA, AMARANTH, NATURAL FLAVORS, SEA SALT.",,50,1 PACKET,Cereal,United States
1107827,Garden of Light Inc.,,,"WHOLE GRAIN OATS, CANE SUGAR, FLAX MEAL, DRIED APPLES, NATURAL FLAVORS, CHIA SEEDS, CINNAMON, QUINOA, AMARANTH, SEA SALT.",,50,1 PACKET,Cereal,United States
1107828,Garden of Light Inc.,,,"MULTIGRAIN & BEAN CRISPS (CORNMEAL, BROWN RICE, MILLET, CANE SUGAR, CORN STARCH, RICE EXTRACT, TEFF, CARAMELIZED PEAR JUICE CONCENTRATE, NAVY BEANS), CANE SUGAR, CANOLA OIL, SWEETENED DRIED CRANBERRIES (CRANBERRIES, SUGAR, SUNFLOWER OIL), SUNFLOWER SEEDS, CASHEWS, INVERT CANE SUGAR, FLAX SEEDS, SESAME SEEDS, NATURAL FLAVORS, CINNAMON, SEA SALT, CLOVES.",,30,1/3 cup,Cereal,United States
1107829,"Topco Associates, Inc.",,,"ORGANIC CORN, ORGANIC WHOLE GRAIN WHEAT, ORGANIC GRANOLA [ORGANIC WHOLE GRAIN OATS, ORGANIC CANE SUGAR, ORGANIC EXPELLER PRESSED CANOLA OIL, ORGANIC CRISP RICE (ORGANIC BROWN RICE, SEA SALT, ORGANIC BROWN RICE SYRUP), ORGANIC HONEY, ORGANIC CORN STARCH, ORGANIC VANILLA EXTRACT, SALT], ORGANIC CANE SUGAR, ORGANIC BARLEY MALT EXTRACT, SEA SALT, NATURAL FLAVOR, TOCOPHEROLS (ANTIOXIDANTS TO MAINTAIN FRESHNESS).",,40,1 cup,Cereal,United States
1107833,"Creative Snacks Co., LLC",,,"WHOLE GRAIN OATS, BROWN SUGAR (SUGAR, CANE SYRUPS), FULLY REFINED CANOLA OIL, RAISINS, DRIED APPLES (APPLES, SUGAR), EGG WHITES, HONEY, FLOUR (UNBLEACHED WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), MOLASSES, WATER, APPLE JUICE CONCENTRATE, CINNAMON, NATURAL VANILLA FLAVOR, SALT.",,40,1/3 cup,Cereal,United States
1107834,Odlum Mills Limited,,,INGREDIENTS: 100% WHOLE GRAIN IRISH OATS,,40,1/4 cup,Cereal,United States
1107835,Odlum Mills Limited,,,"WHOLE GRAIN ROLLED OATS, WHOLE OAT FLOUR, CONTAINS LESS THAN 2% OF: CALCIUM CARBONATE (A SOURCE OF CALCIUM), SALT, GUAR GUM, CARAMEL COLOR FERRIC PHOSPHATE (A SOURCE OF IRON), VITAMIN A PALMITATE, NIACINAMIDE*, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6)*, RIBOFLAVIN*, THIAMIN MONONITRATE*, FOLIC ACID*.",,28,1 PACKET,Cereal,United States
1107958,The Kroger Co.,,,"WHOLE ROLLED WHEAT, MILLED CANE SUGAR, RICE FLOUR, CORNSTARCH, DRIED CRANBERRIES (CRANBERRIES, SUGAR, SUNFLOWER OIL), EXPELLER PRESSED CANOLA OIL, BROWN RICE SYRUP, HONEY, MOLASSES, FREEZE DRIED BLUEBERRIES, SALT, NATURAL FLAVOR, BARLEY MALT SYRUP, FREEZE DRIED STRAWBERRIES, FREEZE DRIED RASPBERRIES.",,64,2/3 cup,Cereal,United States
1107960,The Kroger Co.,,,"WHOLE ROLLED OATS, MILLED CANE SUGAR, RICE FLOUR, WHOLE WHEAT FLOUR, BROWN RICE, DRIED CRANBERRIES (CRANBERRIES, SUGAR, GLYCERIN, SUNFLOWER OIL), EXPELLER PRESSED CANOLA OIL, PUMPKIN SEEDS, DRIED APPLES, CORNSTARCH, BROWN RICE SYRUP, SALT, CINNAMON BARK, NATURAL FLAVOR, BARLEY MALT SYRUP, RICE BRAN, SPICES.",,57,3/4 cup,Cereal,United States
1107962,The Kroger Co.,,,"ORGANIC WHOLE ROLLED OATS, ORGANIC MILLED CANE SUGAR, EXPELLER PRESSED CANOLA OIL, ORGANIC RICE FLOUR, COCONUT, CORNSTARCH, HONEY, NATURAL FLAVOR, SALT, ORGANIC BARLEY MALT SYRUP, ORGANIC BAOBAB POWDER, ALMONDS.",,56,3/4 cup,Cereal,United States
1107991,"Muesli Fusion, Inc.",,,"INGREDIENTS: OATS*, RAISINS*, ALMONDS*, FLAX SEEDS*, CASHEWS*, PUMPKIN SEEDS*",,41,1/3 Cup,Cereal,United States
1107992,"Muesli Fusion, Inc.",,,"GLUTEN FREE OATS, ORGANIC CRANBERRIES (ORGANIC CRANBERRIES, ORGANIC EVAPORATED CANE JUICE, ORGANIC SUNFLOWER OIL), ALMONDS, COCONUT, CHIA SEEDS, HEMP SEEDS, ORGANIC PUFFED QUINOA",,41,1/3 Cup,Cereal,United States
1108000,"Muesli Fusion, Inc.",,,"INGREDIENTS: OATS*, RAISINS*, ALMONDS*, CRANBERRIES* (CRANBERRIES*, EVAPORATED CANE JUICE*, SUNFLOWER OIL*), FLAX SEEDS*, DATES* (DATES*, RICE FLOUR*)",,41,1/3 Cup,Cereal,United States
1108051,"Alluring Lures & Tackle Co, LLC",,,"WHOLE GRAIN OATS, HONEY, ALMONDS, CANOLA OIL, RAISINS (RAISINS, GLYCERIN, SUNFLOWER OIL), COCONUT, SWEETENED DRIED CRANBERRIES (CRANBERRIES, SUGAR, GLYCERIN, SUNFLOWER OIL), OAT BRAN, MAPLE SYRUP, PECANS, WALNUTS, WHOLE OAT FLOUR, GROUND FLAX SEEDS, TOASTED SESAME SEEDS. ",,30,1.1 ONZ,Cereal,United States
1108084,"8th Avenue Food & Provisions, Inc.",,,"WHOLE GRAIN ROLLED OATS, CANE SUGAR, EXPELLER PRESSED CANOLA OIL, RICE FLOUR, CORNSTARCH, ALMONDS, HONEY, NATURAL FLAVOR, SALT, BARLEY MALT EXTRACT.",,57,3/4 cup,Cereal,United States
1108129,"Wal-Mart Stores, Inc.",,,"WHOLE GRAIN OATS, SUGAR, CORN FLOUR, WHOLE GRAIN WHEAT, RICE FLOUR, SALT, CALCIUM CARBONATE, TRISODIUM PHOSPHATE, COLOR ADDED (CARAMEL COLOR, PAPRIKA OLEORESIN AND TURMERIC OLEORESIN), CINNAMON, NATURAL FLAVOR. FRESHNESS PRESERVED WITH VITAMIN E (MIXED TOCOPHEROLS). VITAMINS AND MINERALS: REDUCED IRON, NIACINAMIDE (VITAMIN B3), ZINC OXIDE, THIAMINE MONONITRATE (VITAMIN B1), PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), FOLIC ACID.",,42,1 cup,Cereal,United States
1108131,"Wal-Mart Stores, Inc.",,,"WHOLE GRAIN WHEAT, SUGAR, GELATIN. BHT ADDED TO PRESERVE FRESHNESS. VITAMINS AND MINERALS: REDUCED IRON, NIACINAMIDE (VITAMIN B3), FOLIC ACID, ZINC OXIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMINE MONONITRATE (VITAMIN B1), VITAMIN B12.",,60,21 biscuits,Cereal,United States
