fdc_id,nutrient_id,amount
1105928,1004,16.67
1105928,1186,150
1105928,2000,0
1105929,1258,12.96
1105929,2000,44.44
1105929,1089,1.85
1105929,1110,0
1105929,1093,352
1105929,1079,0
1105929,1004,22.22
1105929,1092,74
1105929,1257,0
1105929,1253,37
1105929,1003,3.7
1105929,1005,70.37
1105929,1087,37
1105929,1008,481
1105930,1079,0
1105930,1005,0.42
1105930,1110,0
1105930,1092,0
1105930,1004,0
1105930,1089,0
1105930,1253,0
1105930,1258,0
1105930,1093,346
1105930,1087,0
1105930,1257,0
1105930,2000,0.42
1105930,1008,4
1105930,1003,0.83
1105931,1190,182
1105931,1092,71
1105931,1165,0
1105931,1079,2
1105931,1089,3.13
1105931,1253,0
1105931,1293,1.01
1105931,1008,263
1105931,1003,8.08
1105931,2000,1.01
1105931,1257,0
1105931,1258,0
1105931,1292,2.02
1105931,1166,0.293
1105931,1005,50.51
1105931,1186,106
1105931,1093,576
1105931,1087,10
1105931,1110,0
1105931,1004,3.54
1105932,1257,0
1105932,1079,0
1105932,1253,16
1105932,1092,65
1105932,1087,0
1105932,1089,1.94
1105932,1258,8.06
1105932,1004,16.13
1105932,1003,3.23
1105932,2000,32.26
1105932,1005,67.74
1105932,1093,226
1105932,1110,0
1105932,1008,419
1105933,1003,0.42
1105933,1004,0
1105933,1008,4
1105933,2000,0.42
1105933,1092,21
1105933,1079,0
1105933,1110,0
1105933,1089,0.08
1105933,1257,0
1105933,1258,0
1105933,1005,0.42
1105933,1087,4
1105933,1253,0
1105933,1093,358
1105934,1003,2.25
1105934,1110,0
1105934,1005,30.34
1105934,1008,258
1105934,1093,258
1105934,1079,1.1
1105934,1089,1.12
1105934,1087,11
1105934,1092,56
1105934,2000,11.24
1105934,1004,14.61
1105934,1253,0
1105934,1257,0
1105934,1258,7.87
1105935,1004,14.06
1105935,1079,3.1
1105935,1008,406
1105935,1110,0
1105935,1003,3.12
1105935,1253,31
1105935,1087,31
1105935,2000,31.25
1105935,1005,68.75
1105935,1093,219
1105935,1092,62
1105935,1089,2.19
1105935,1258,7.81
1105935,1257,0
1105936,1008,246
1105936,1110,0
1105936,1089,2.81
1105936,1079,1.8
1105936,1253,0
1105936,1003,8.77
1105936,1087,18
1105936,1165,0
1105936,1005,49.12
1105936,1093,509
1105936,1257,0
1105936,1258,0
1105936,1092,105
1105936,2000,1.75
1105936,1166,0.263
1105936,1004,1.75
1105936,1293,0
1105936,1186,96
1105936,1190,167
1105936,1292,0.88
1105937,1087,33
1105937,1089,2
1105937,2000,33.33
1105937,1257,0
1105937,1079,0
1105937,1004,23.33
1105937,1258,11.67
1105937,1092,100
1105937,1005,63.33
1105937,1003,3.33
1105937,1093,283
1105937,1253,33
1105937,1008,500
1105938,1087,0
1105938,1258,0
1105938,1079,0
1105938,1089,0
1105938,1008,4
1105938,1092,4
1105938,2000,0.42
1105938,1110,0
1105938,1003,0.83
1105938,1004,0
1105938,1253,0
1105938,1005,0.42
1105938,1093,171
1105938,1257,0
1105939,1190,193
1105939,1087,18
1105939,1079,1.8
1105939,1166,0.333
1105939,1004,0.88
1105939,1092,88
1105939,2000,0
1105939,1003,8.77
1105939,1253,0
1105939,1292,0
1105939,1089,2.98
1105939,1257,0
1105939,1186,114
1105939,1258,0
1105939,1093,596
1105939,1005,50.88
1105939,1293,0
1105939,1110,0
1105939,1165,0
1105939,1008,246
1105940,1005,63.33
1105940,1089,1.67
1105940,2000,30
1105940,1003,3.33
1105940,1004,23.33
1105940,1253,17
1105940,1087,33
1105940,1258,11.67
1105940,1092,67
1105940,1257,0
1105940,1008,467
1105940,1110,0
1105940,1093,233
1105940,1079,0
1105941,1089,5.17
1105941,1092,207
1105941,1079,3.4
1105941,1110,0
1105941,2000,37.93
1105941,1258,10.34
1105941,1093,172
1105941,1087,34
1105941,1005,65.52
1105941,1257,0
1105941,1003,6.9
1105941,1004,24.14
1105941,1253,17
1105941,1008,517
1105942,1257,0
1105942,1005,0.43
1105942,1253,0
1105942,1258,0
1105942,1004,0
1105942,2000,0.43
1105942,1092,4
1105942,1087,4
1105942,1003,0.85
1105942,1093,174
1105942,1079,0
1105942,1008,4
1105942,1089,0.09
1105942,1110,0
1105943,1089,3.16
1105943,1110,0
1105943,1092,70
1105943,1004,0.88
1105943,1186,105
1105943,1087,35
1105943,1253,0
1105943,1257,0
1105943,1003,8.77
1105943,1190,175
1105943,1079,1.8
1105943,1258,0
1105943,1008,246
1105943,1292,0
1105943,1293,0
1105943,1093,632
1105943,1005,49.12
1105943,2000,1.75
1105943,1166,0.281
1105943,1165,0
1105944,1110,0
1105944,1092,70
1105944,1258,0
1105944,1293,0.88
1105944,1003,8.77
1105944,1004,3.51
1105944,1190,175
1105944,1008,263
1105944,1093,561
1105944,1089,2.98
1105944,1087,18
1105944,1292,1.75
1105944,1079,1.8
1105944,1253,0
1105944,1257,0
1105944,1165,0
1105944,1005,50.88
1105944,1166,0.281
1105944,1186,105
1105944,2000,0
1105945,1092,67
1105945,1258,10
1105945,1079,0
1105945,1087,33
1105945,1089,2
1105945,1004,23.33
